taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
2118, 2016-12-01 20:45:00; 780, 0; 1175; 0; bankkártya
2457, 2016-12-22 20:00:00; 960, 0; 110; 0; készpénz
5367, 2016-12-13 15:45:00; 1080, 0; 1475; 0; készpénz
4680, 2016-12-09 18:15:00; 480, 0; 625; 0; készpénz
8014, 2016-12-20 21:30:00; 180, 0; 50; 0; készpénz
710, 2016-12-09 21:45:00; 540, 0; 1025; 0; készpénz
2448, 2016-12-16 12:15:00; 540, 0; 825; 20; bankkártya
2041, 2016-12-14 12:45:00; 420, 0; 65; 10; bankkártya
3612, 2016-12-10 12:45:00; 420, 0; 65; 0; készpénz
1924, 2016-12-20 19:30:00; 540, 0; 75; 0; készpénz
5796, 2016-12-15 21:00:00; 300, 0; 575; 20; bankkártya
1460, 2016-12-21 13:45:00; 900, 0; 925; 0; készpénz
4675, 2016-12-30 19:00:00; 360, 0; 625; 30; bankkártya
2918, 2016-12-14 20:15:00; 540, 0; 70; 14; bankkártya
8636, 2016-12-28 17:00:00; 420, 0; 70; 0; készpénz
4927, 2016-12-07 15:30:00; 960, 0; 1025; 305; bankkártya
6016, 2016-12-20 08:15:00; 660, 0; 201; 0; ismeretlen
7517, 2016-12-09 18:45:00; 840, 0; 925; 0; készpénz
1463, 2016-12-10 18:15:00; 300, 0; 525; 0; készpénz
1523, 2016-12-04 02:00:00; 300, 0; 35; 0; készpénz
6535, 2016-12-01 21:30:00; 840, 0; 80; 0; készpénz
1164, 2016-12-31 19:30:00; 240, 0; 525; 0; készpénz
197, 2016-12-06 10:30:00; 840, 0; 90; 0; készpénz
1322, 2016-12-10 01:45:00; 540, 0; 775; 0; készpénz
1928, 2016-12-07 18:45:00; 120, 0; 375; 0; készpénz
812, 2016-12-30 23:15:00; 540, 0; 75; 20; bankkártya
8563, 2016-12-30 12:45:00; 780, 0; 90; 0; készpénz
3612, 2016-12-31 21:30:00; 1200, 0; 160; 0; készpénz
1383, 2016-12-14 03:00:00; 180, 0; 475; 0; készpénz
3721, 2016-12-05 14:45:00; 240, 0; 475; 0; készpénz
8274, 2016-12-31 16:15:00; 720, 0; 975; 215; bankkártya
433, 2016-12-21 17:15:00; 1020, 0; 1825; 0; készpénz
7063, 2016-12-09 16:00:00; 420, 0; 65; 0; készpénz
157, 2016-12-29 17:30:00; 240, 0; 50; 10; bankkártya
2388, 2016-12-31 02:30:00; 180, 0; 475; 0; készpénz
6569, 2016-12-23 16:45:00; 300, 0; 55; 0; készpénz
1751, 2016-12-15 13:45:00; 660, 0; 90; 0; készpénz
5857, 2016-12-03 02:00:00; 540, 0; 80; 0; készpénz
6562, 2016-12-02 20:00:00; 240, 0; 525; 0; készpénz
7430, 2016-12-08 14:30:00; 7320, 0; 325; 0; készpénz
4254, 2016-12-19 17:30:00; 240, 0; 45; 20; bankkártya
29, 2016-12-08 00:15:00; 300, 0; 60; 0; készpénz
5901, 2016-12-29 10:45:00; 660, 0; 775; 0; készpénz
2663, 2016-12-16 13:15:00; 11, 0; 325; 0; készpénz
1322, 2016-12-02 23:15:00; 600, 0; 80; 20; bankkártya
5114, 2016-12-01 09:30:00; 420, 0; 60; 20; bankkártya
7748, 2016-12-04 20:15:00; 180, 0; 55; 10; bankkártya
5243, 2016-12-01 09:15:00; 480, 0; 675; 0; készpénz
6407, 2016-12-19 15:15:00; 180, 0; 475; 0; készpénz
1811, 2016-12-26 13:00:00; 360, 0; 675; 20; bankkártya
3649, 2016-12-31 00:30:00; 420, 0; 70; 0; készpénz
5143, 2016-12-16 01:30:00; 300, 0; 70; 20; bankkártya
7210, 2016-12-12 14:45:00; 540, 0; 75; 20; bankkártya
7541, 2016-12-10 11:30:00; 300, 0; 55; 0; készpénz
5054, 2016-12-08 23:30:00; 480, 0; 75; 0; készpénz
3637, 2016-12-04 19:15:00; 300, 0; 55; 0; készpénz
1243, 2016-12-14 20:00:00; 780, 0; 825; 30; bankkártya
8289, 2016-12-05 21:00:00; 780, 0; 1225; 0; ingyenes
602, 2016-12-20 23:15:00; 1080, 0; 1575; 10; bankkártya
1901, 2016-12-02 21:45:00; 60, 0; 325; 0; készpénz
1261, 2016-12-20 18:45:00; 600, 0; 725; 15; bankkártya
2612, 2016-12-09 08:30:00; 360, 0; 575; 0; készpénz
4106, 2016-12-17 09:00:00; 420, 0; 825; 0; készpénz
6544, 2016-12-27 16:15:00; 1020, 0; 120; 0; készpénz
6902, 2016-12-30 22:30:00; 180, 0; 425; 0; készpénz
4560, 2016-12-30 00:15:00; 180, 0; 50; 0; ingyenes
7523, 2016-12-15 08:45:00; 1740, 0; 200; 50; bankkártya
3465, 2016-12-07 09:45:00; 1020, 0; 110; 22; bankkártya
7776, 2016-12-17 16:00:00; 780, 0; 85; 30; bankkártya
2330, 2016-12-06 09:00:00; 360, 0; 55; 0; készpénz
7528, 2016-12-11 00:30:00; 660, 0; 1025; 0; készpénz
1563, 2016-12-09 20:45:00; 780, 0; 1275; 0; készpénz
376, 2016-12-12 19:00:00; 480, 0; 625; 0; készpénz
5130, 2016-12-29 21:00:00; 540, 0; 725; 0; készpénz
279, 2016-12-09 20:00:00; 300, 0; 525; 20; bankkártya
6353, 2016-12-08 08:15:00; 720, 0; 90; 0; készpénz
3453, 2016-12-07 19:45:00; 60, 0; 325; 0; készpénz
7210, 2016-12-13 14:30:00; 720, 0; 80; 0; készpénz
6898, 2016-12-03 19:00:00; 1980, 0; 165; 0; készpénz
5243, 2016-12-29 12:15:00; 1380, 0; 265; 0; készpénz
5829, 2016-12-09 16:45:00; 360, 0; 525; 0; készpénz
6562, 2016-12-17 16:45:00; 360, 0; 575; 0; készpénz
1989, 2016-12-20 16:45:00; 300, 0; 575; 0; készpénz
1164, 2016-12-15 22:15:00; 360, 0; 675; 20; bankkártya
5472, 2016-12-11 17:45:00; 360, 0; 675; 10; bankkártya
760, 2016-12-14 13:45:00; 60, 0; 40; 0; készpénz
3267, 2016-12-06 17:45:00; 420, 0; 625; 20; bankkártya
686, 2016-12-04 14:30:00; 120, 0; 40; 10; bankkártya
7092, 2016-12-14 17:15:00; 780, 0; 90; 20; bankkártya
7375, 2016-12-20 15:45:00; 480, 0; 625; 0; készpénz
8709, 2016-12-03 08:30:00; 180, 0; 525; 0; készpénz
6989, 2016-12-19 14:45:00; 300, 0; 525; 0; készpénz
2240, 2016-12-28 17:30:00; 540, 0; 70; 0; készpénz
4638, 2016-12-31 22:45:00; 2400, 0; 440; 1125; bankkártya
4106, 2016-12-10 16:45:00; 660, 0; 75; 20; bankkártya
3594, 2016-12-23 15:30:00; 2400, 0; 235; 0; készpénz
7622, 2016-12-28 15:45:00; 900, 0; 1275; 0; készpénz
4702, 2016-12-06 15:00:00; 360, 0; 625; 10; bankkártya
5628, 2016-12-03 00:30:00; 420, 0; 675; 0; készpénz
1261, 2016-12-30 21:00:00; 480, 0; 775; 20; bankkártya
1383, 2016-12-17 12:30:00; 240, 0; 60; 20; bankkártya
2697, 2016-12-03 21:45:00; 180, 0; 40; 0; készpénz
4702, 2016-12-07 17:00:00; 540, 0; 725; 0; készpénz
6317, 2016-12-14 09:45:00; 420, 0; 675; 20; bankkártya
8232, 2016-12-16 22:00:00; 1140, 0; 140; 0; készpénz
6, 2016-12-16 23:30:00; 840, 0; 205; 535; bankkártya
8193, 2016-12-22 14:45:00; 780, 0; 80; 20; bankkártya
8709, 2016-12-08 12:00:00; 420, 0; 60; 20; bankkártya
2607, 2016-12-08 21:15:00; 660, 0; 80; 0; készpénz
1319, 2016-12-04 19:30:00; 600, 0; 80; 0; készpénz
5812, 2016-12-10 23:00:00; 480, 0; 675; 0; készpénz
5400, 2016-12-02 09:30:00; 780, 0; 925; 0; készpénz
3721, 2016-12-19 14:15:00; 720, 0; 95; 0; készpénz
4325, 2016-12-29 09:00:00; 1020, 0; 2475; 20; bankkártya
7748, 2016-12-14 18:00:00; 1020, 0; 95; 20; bankkártya
7531, 2016-12-24 01:15:00; 360, 0; 65; 0; készpénz
8031, 2016-12-30 21:00:00; 840, 0; 115; 23; bankkártya
4954, 2016-12-08 12:45:00; 360, 0; 60; 0; készpénz
625, 2016-12-11 05:00:00; 1500, 0; 4525; 1355; bankkártya
1152, 2016-12-13 14:15:00; 540, 0; 675; 0; készpénz
3793, 2016-12-03 20:00:00; 1200, 0; 1375; 0; készpénz
3773, 2016-12-19 14:30:00; 480, 0; 65; 0; készpénz
4111, 2016-12-08 11:15:00; 480, 0; 65; 20; bankkártya
1482, 2016-12-22 17:45:00; 300, 0; 55; 0; készpénz
6407, 2016-12-13 14:30:00; 480, 0; 725; 20; bankkártya
2888, 2016-12-13 17:15:00; 1620, 0; 1625; 0; készpénz
629, 2016-12-16 15:45:00; 1200, 0; 135; 0; készpénz
5901, 2016-12-05 06:45:00; 660, 0; 1375; 34; bankkártya
7923, 2016-12-21 16:30:00; 1620, 0; 215; 0; készpénz
7523, 2016-12-18 15:00:00; 480, 0; 70; 10; bankkártya
